,Date,Last Price,Volume,SMAVG (15),Unnamed: 4
0,5/12/20,2870.12,595423616,675293120,
1,5/13/20,2820.0,761340544,681457600,
2,5/14/20,2852.5,706517120,683379648,
3,5/15/20,2863.7,1024342720,703758656,
4,5/18/20,2953.91,800533504,716407232,
5,5/19/20,2922.94,581011264,710411904,
6,5/20/20,2971.61,589509696,694620992,
7,5/21/20,2948.51,585595392,662866240,
8,5/22/20,2955.45,452308576,649186368,
9,5/26/20,2991.77,757844800,656320256,
10,5/27/20,3036.13,740053184,664767872,
11,5/28/20,3029.73,691715328,671106432,
12,5/29/20,3044.31,1607090432,737037376,
13,6/1/20,3055.73,539492672,735226752,
14,6/2/20,3080.82,638748992,738101888,
15,6/3/20,3122.87,664131072,742682368,
16,6/4/20,3112.35,784969088,744257600,
17,6/5/20,3193.93,1015182144,764835264,
18,6/8/20,3232.39,804790528,750198464,
19,6/9/20,3207.18,713443264,744392448,
20,6/10/20,3190.14,771297984,757078208,
21,6/11/20,3002.1,947088320,780916800,
22,6/12/20,3041.31,801367168,795301568,
23,6/15/20,3066.59,785779904,817532992,
24,6/16/20,3124.74,807726848,820858432,
25,6/17/20,3113.49,644978624,814520128,
26,6/18/20,3115.34,646183296,811484672,
27,6/19/20,3097.74,2263049216,855215296,
28,6/22/20,3117.86,709123712,866524032,
29,6/23/20,3131.29,708016512,871141824,
30,6/24/20,3050.33,788986752,879465536,
31,6/25/20,3083.76,661457088,871231424,
32,6/26/20,3009.05,1537463296,906050176,
33,6/29/20,3053.24,612981440,893262912,
34,6/30/20,3100.29,803385920,899259072,
35,7/1/20,3115.86,611490944,888605248,
36,7/2/20,3130.01,587877760,864657920,
37,7/6/20,3179.72,620412544,852594240,
38,7/7/20,3145.32,574607296,838516096,
39,7/8/20,3169.94,592628160,824176192,
40,7/9/20,3152.05,618475904,822409344,
41,7/10/20,3185.04,551891776,816123200,
42,7/13/20,3155.22,669535104,709888960,
43,7/14/20,3197.52,642171840,705425472,
44,7/15/20,3226.56,662385856,702383424,
45,7/16/20,3215.57,516392544,684210496,
46,7/17/20,3224.73,613258816,680997248,
47,7/20/20,3251.84,543165376,614710784,
48,7/21/20,3257.3,594082176,613450816,
49,7/22/20,3276.02,549796672,596544832,
50,7/23/20,3235.66,629465024,597743104,
51,7/24/20,3215.63,573324672,596772928,
52,7/27/20,3239.41,554595776,592385152,
53,7/28/20,3218.44,485107264,586418432,
54,7/29/20,3258.44,558845184,584166272,
55,7/30/20,3246.22,545268672,579285760,
56,7/31/20,3271.12,946651264,605603072,
57,8/3/20,3294.61,587010880,600101440,
58,8/4/20,3306.51,552035328,594092352,
59,8/5/20,3327.77,571356928,588023744,
60,8/6/20,3349.16,539314688,589551936,
61,8/7/20,3351.28,529715840,583982400,
62,8/10/20,3360.47,596039872,587507328,
63,8/11/20,3333.69,653971008,591499968,
64,8/12/20,3380.35,532752768,590363648,
65,8/13/20,3373.43,472249664,579882624,
66,8/14/20,3372.85,430449280,570357632,
67,8/17/20,3381.99,489813824,566038848,
68,8/18/20,3389.78,453925248,563960000,
69,8/19/20,3374.85,503452704,560267200,
70,8/20/20,3385.51,460783584,554634880,
71,8/21/20,3397.16,571644032,529634368,
72,8/24/20,3431.28,553925056,527428640,
73,8/25/20,3443.62,460443968,521322560,
74,8/26/20,3478.73,484306016,515519168,
75,8/27/20,3484.55,534303744,515185120,
76,8/28/20,3508.01,526053760,514940960,
77,8/31/20,3500.31,765493696,526237888,
78,9/1/20,3526.65,557623808,519814752,
79,9/2/20,3580.84,655400192,527991232,
80,9/3/20,3455.06,821258432,551258496,
81,9/4/20,3426.96,795277504,575580352,
82,9/8/20,3331.84,838806272,598846528,
83,9/9/20,3398.96,677126720,613726656,
84,9/10/20,3339.19,659201216,624109888,
85,9/11/20,3340.97,613821888,634312448,
86,9/14/20,3383.54,625988224,637935360,
87,9/15/20,3401.2,601889152,641132992,
88,9/16/20,3385.49,763615744,661344448,
89,9/17/20,3357.01,774823872,680712256,
90,9/18/20,3319.47,1873495808,769991744,
91,9/21/20,3281.06,864396864,792547968,
92,9/22/20,3315.57,662841216,785704448,
93,9/23/20,3236.92,683969984,794127552,
94,9/24/20,3246.59,596712640,790215040,
95,9/25/20,3298.46,545375744,771822848,
96,9/28/20,3351.6,592684544,758316672,
97,9/29/20,3335.47,455834240,732785216,
98,9/30/20,3363.0,776233984,739392320,
99,10/1/20,3380.8,587527744,734614080,
100,10/2/20,3348.44,585678784,732737920,
101,10/5/20,3408.63,551280000,727757376,
102,10/6/20,3360.95,621769280,729082688,
103,10/7/20,3419.45,537482944,714007168,
104,10/8/20,3446.83,512431328,696514368,
105,10/9/20,3477.13,566334848,609370304,
106,10/12/20,3534.22,582962240,590608000,
107,10/13/20,3511.93,550320576,583106560,
108,10/14/20,3488.67,511998912,571641856,
109,10/15/20,3483.34,491315872,564615424,
110,10/16/20,3483.81,611953280,569053888,
111,10/19/20,3426.92,574726720,567856704,
112,10/20/20,3443.12,492245312,570284096,
113,10/21/20,3435.56,517460288,553032512,
114,10/22/20,3453.49,550346624,550553792,
115,10/23/20,3465.39,492276704,544326976,
116,10/26/20,3400.97,587566784,546746112,
117,10/27/20,3390.68,559489280,542594112,
118,10/28/20,3271.03,774474624,558393536,
119,10/29/20,3310.11,659853376,568221696,
120,10/30/20,3269.96,845497984,586832576,
121,11/2/20,3310.24,637569984,590473088,
122,11/3/20,3369.16,577259072,592268992,
123,11/4/20,3443.44,734881216,607127808,
124,11/5/20,3510.45,611197632,615119936,
125,11/6/20,3509.44,537798208,610176256,
126,11/9/20,3550.5,1190510464,651228480,
127,11/10/20,3545.53,840924032,674473728,
128,11/11/20,3572.66,605452928,680339904,
129,11/12/20,3537.01,590952384,683046976,
130,11/13/20,3585.15,534057344,685832384,
131,11/16/20,3626.91,723504448,694894848,
132,11/17/20,3609.53,605174912,697940544,
133,11/18/20,3567.79,629084800,688247936,
134,11/19/20,3581.87,578426944,682819520,
135,11/20/20,3557.54,633570944,668691008,
136,11/23/20,3577.59,606117888,666594240,
137,11/24/20,3635.41,756430016,678538944,
138,11/25/20,3629.65,565389248,667239488,
139,11/27/20,3638.35,294230112,646108288,
140,11/30/20,3621.63,1335388032,699280960,
141,12/1/20,3662.45,639946496,662576704,
142,12/2/20,3669.01,601656640,646625536,
143,12/3/20,3666.72,614889280,647254656,
144,12/4/20,3699.12,598563904,647762048,
145,12/7/20,3691.96,584180800,651103616,
146,12/8/20,3702.25,548025856,639405056,
147,12/9/20,3672.82,698302656,645613568,
148,12/10/20,3668.1,623846080,645264320,
149,12/11/20,3663.46,568895488,644628864,
150,12/14/20,3647.49,702282304,649209664,
151,12/15/20,3694.62,631936192,650930880,
152,12/16/20,3701.17,626487744,642268032,
153,12/17/20,3722.48,601682496,644687616,
154,12/18/20,3709.41,2134538112,767374784,
155,12/21/20,3694.92,747465152,728179968,
156,12/22/20,3687.26,582735360,724365888,
157,12/23/20,3690.01,489952800,716918976,
158,12/24/20,3703.06,206543744,689695936,
159,12/28/20,3735.36,429214688,678405952,
160,12/29/20,3727.04,428879456,668052544,
161,12/30/20,3732.04,411831424,658972928,
162,12/31/20,3756.07,499581056,645724800,
163,1/4/21,3700.65,761648768,654911680,
164,1/5/21,3726.86,603798400,657238528,
165,1/6/21,3748.14,827613888,665593984,
166,1/7/21,3803.79,706082176,670537024,
167,1/8/21,3824.68,649780672,672089856,
168,1/11/21,3799.61,613612864,672885248,
169,1/12/21,3801.19,658562752,574486912,
170,1/13/21,3809.84,604769152,564973824,
171,1/14/21,3795.54,678176064,571336512,
172,1/15/21,3768.25,852165952,595484096,
173,1/19/21,3798.91,683059328,627251776,
174,1/20/21,3851.85,644495104,641603776,
175,1/21/21,3853.07,620776704,654396928,
176,1/22/21,3841.47,621451008,668371584,
177,1/25/21,3855.36,675231360,680081600,
178,1/26/21,3849.62,590568064,668676224,
179,1/27/21,3750.77,967706368,692936768,
180,1/28/21,3787.38,846769920,694213824,
181,1/29/21,3714.24,1022917120,715336192,
182,2/1/21,3773.86,630171712,714028928,
183,2/2/21,3826.31,647254400,716271680,
184,2/3/21,3830.17,617247552,713517312,
185,2/4/21,3871.74,611413696,713960320,
186,2/5/21,3886.83,537391424,704574656,
187,2/8/21,3915.59,573323008,685985088,
188,2/9/21,3911.23,485445856,672810880,
189,2/10/21,3909.88,559418176,667139072,
190,2/11/21,3916.38,586186496,664833088,
191,2/12/21,3934.83,458852288,653993152,
192,2/16/21,3932.59,593684480,648556672,
193,2/17/21,3931.33,542976256,645383936,
194,2/18/21,3913.97,520398464,615563392,
195,2/19/21,3906.71,665244928,603461696,
196,2/22/21,3876.5,692050944,581403968,
197,2/23/21,3881.37,755513152,589760064,
198,2/24/21,3925.43,697584256,593115392,
199,2/25/21,3829.34,712863872,599489792,
200,2/26/21,3811.15,961817664,622850112,
201,3/1/21,3901.82,633792512,629276800,
202,3/2/21,3870.29,633092928,633261504,
203,3/3/21,3819.72,684624448,646540032,
204,3/4/21,3768.47,851214144,665993152,
205,3/5/21,3841.94,829073408,682185600,
206,3/8/21,3821.35,756663296,702039680,
207,3/9/21,3875.44,709867520,709785216,
208,3/10/21,3898.81,670320896,718274816,
209,3/11/21,3939.34,633849728,725838272,
210,3/12/21,3943.34,590613504,720862848,
211,3/15/21,3968.94,599944960,714722432,
212,3/16/21,3962.71,606621312,704796288,
213,3/17/21,3974.12,652793728,701810240,
214,3/18/21,3915.46,700494720,700985664,
215,3/19/21,3913.1,2323804160,791784768,
216,3/22/21,3940.59,677313664,794686144,
217,3/23/21,3910.52,666674304,796924928,
218,3/24/21,3889.14,612118400,792091200,
219,3/25/21,3909.52,632391616,777503040,
220,3/26/21,3974.54,719734912,770213760,
221,3/29/21,3971.09,636567104,762207360,
222,3/30/21,3958.55,549283712,751501760,
223,3/31/21,3972.89,790771520,759531840,
224,4/1/21,4019.87,549284544,753894144,
225,4/5/21,4077.91,594159808,754130560,
226,4/6/21,4073.94,571848576,752257472,
227,4/7/21,4079.95,489011104,744416768,
228,4/8/21,4097.17,542499584,737063872,
229,4/9/21,4128.8,510310240,724384896,
230,4/12/21,4127.99,526549664,604567936,
231,4/13/21,4141.59,523803680,594333888,
232,4/14/21,4124.66,547124416,586363904,
233,4/15/21,4170.42,556701824,582669504,
234,4/16/21,4185.47,670059968,585180736,
235,4/19/21,4163.26,545994752,573598016,
236,4/20/21,4134.94,542835776,567349248,
237,4/21/21,4173.42,552948864,567593600,
238,4/22/21,4134.98,586661632,553986304,
239,4/23/21,4180.17,530028544,552702592,
240,4/26/21,4187.62,535480160,548790592,
241,4/27/21,4186.72,518564000,545238272,
242,4/28/21,4183.18,555786112,549689920,
243,4/29/21,4211.47,603848000,553779840,
244,4/30/21,4181.17,738271680,568977280,
245,5/3/21,4192.66,574622080,572182080,
246,5/4/21,4164.66,647398656,580421760,
247,5/5/21,4167.59,574161152,582224192,
248,5/6/21,4201.62,601702912,585224256,
249,5/7/21,4232.6,541938368,576682816,
250,5/10/21,4188.43,627898368,582143104,
251,5/11/21,4152.1,601429056,586049280,
252,5/12/21,4063.04,652754688,592703040,
253,5/13/21,4112.5,574425408,591887296,
254,5/14/21,4173.85,501702752,589998912,
255,5/17/21,4163.29,571758336,592417408,
256,5/18/21,4127.83,582592448,596686016,
257,5/19/21,4115.68,669726656,604282048,
258,5/20/21,4159.12,570286976,602044608,
259,5/21/21,4155.86,661555904,596930240,
260,5/24/21,4197.05,491196288,591368512,
261,5/25/21,4188.13,536415456,583969664,
262,5/26/21,4195.99,565352448,583382400,
263,5/27/21,4200.88,1294689920,629581568,
264,5/28/21,4204.11,583005888,632319360,
265,6/1/21,4202.04,556072384,627530944,
266,6/2/21,4208.12,552370496,624260416,
267,6/3/21,4192.85,560056000,618080512,
268,6/4/21,4229.89,465931744,610847552,
269,6/7/21,4226.52,467143648,608543616,
270,6/8/21,4227.26,582092992,609232640,
271,6/9/21,4219.55,490279648,603078400,
272,6/10/21,4239.18,514102432,592703488,
273,6/11/21,4247.44,466454816,585781312,
274,6/14/21,4255.15,502609184,575184896,
275,6/15/21,4246.59,496016800,575506240,
