Tesla Last Price,S&P Last  Price
161.882,2870.12
158.192,2820.0
160.666,2852.5
159.834,2863.7
162.726,2953.91
161.602,2922.94
163.112,2971.61
165.52,2948.51
163.376,2955.45
163.774,2991.77
164.046,3036.13
161.162,3029.73
167.0,3044.31
179.62,3055.73
176.312,3080.82
176.592,3122.87
172.87600000000000,3112.35
177.132,3193.93
189.984,3232.39
188.13400000000000,3207.18
205.01,3190.14
194.56800000000000,3002.1
187.05600000000000,3041.31
198.18,3066.59
196.426,3124.74
198.358,3113.49
200.792,3115.34
200.18,3097.74
198.864,3117.86
200.356,3131.29
192.17,3050.33
197.196,3083.76
191.94800000000000,3009.05
201.87,3053.24
215.96200000000000,3100.29
223.926,3115.86
241.732,3130.01
274.316,3179.72
277.972,3145.32
273.176,3169.94
278.856,3152.05
308.93,3185.04
299.41200000000000,3155.22
303.36,3197.52
309.202,3226.56
300.128,3215.57
300.168,3224.73
328.6,3251.84
313.672,3257.3
318.466,3276.02
302.61400000000000,3235.66
283.4,3215.63
307.92,3239.41
295.298,3218.44
299.822,3258.44
297.498,3246.22
286.152,3271.12
297.0,3294.61
297.4,3306.51
297.004,3327.77
297.916,3349.16
290.54200000000000,3351.28
283.714,3360.47
274.878,3333.69
310.952,3380.35
324.2,3373.43
330.142,3372.85
367.12800000000000,3381.99
377.418,3389.78
375.70600000000000,3374.85
400.366,3385.51
409.996,3397.16
402.84,3431.28
404.668,3443.62
430.634,3478.73
447.75,3484.55
442.68,3508.01
498.32,3500.31
475.05,3526.65
447.37,3580.84
407.0,3455.06
418.32,3426.96
330.21,3331.84
366.28,3398.96
371.34,3339.19
372.72,3340.97
419.62,3383.54
449.76,3401.2
441.76,3385.49
423.43,3357.01
442.15,3319.47
449.39,3281.06
424.23,3315.57
380.36,3236.92
387.79,3246.59
407.34,3298.46
421.2,3351.6
419.07,3335.47
429.01,3363.0
448.16,3380.8
415.09,3348.44
425.68,3408.63
413.98,3360.95
425.3,3419.45
425.92,3446.83
434.0,3477.13
442.3,3534.22
446.65,3511.93
461.3,3488.67
448.88,3483.34
439.67,3483.81
430.83,3426.92
421.94,3443.12
422.64,3435.56
425.79,3453.49
420.63,3465.39
420.28,3400.97
424.68,3390.68
