,Date,Last Price,Open Price,High Price,Low Price,Volume
0,5/12/2020,161.882,165.4,168.658,161.6,79534528
1,5/13/2020,158.192,164.166,165.2,152.66,95327456
2,5/14/2020,160.666,156.0,160.672,152.8,68410944
3,5/15/2020,159.834,158.07,161.01,157.31,52592140
4,5/18/2020,162.726,165.55599999999998,166.94400000000002,160.776,58490512
5,5/19/2020,161.602,163.034,164.41400000000002,161.216,48182608
6,5/20/2020,163.112,164.1,165.2,162.36,36546356
7,5/21/2020,165.52,163.2,166.5,159.2,61272920
8,5/22/2020,163.376,164.435,166.356,162.4,49937376
9,5/26/2020,163.774,166.9,166.92,163.141,40448680
10,5/27/2020,164.046,164.172,165.542,157.0,57747648
11,5/28/2020,161.162,162.702,164.95,160.338,36378872
12,5/29/2020,167.0,161.75,167.0,160.842,59062444
13,6/1/2020,179.62,171.6,179.8,170.82,75426488
14,6/2/2020,176.312,178.94,181.732,174.2,67827984
15,6/3/2020,176.592,177.62400000000002,179.588,176.02,39747344
16,6/4/2020,172.87599999999998,177.976,179.15,171.688,44438564
17,6/5/2020,177.132,175.56799999999998,177.304,173.24,39059584
18,6/8/2020,189.984,183.8,190.0,181.832,70873632
19,6/9/2020,188.13400000000001,188.002,190.888,184.78599999999997,56940768
20,6/10/2020,205.01,198.37599999999998,205.49599999999998,196.5,92817064
21,6/11/2020,194.56799999999998,198.04,203.792,194.4,79582408
22,6/12/2020,187.05599999999998,196.0,197.59599999999998,182.52,83816872
23,6/15/2020,198.18,183.558,199.768,181.7,78485888
24,6/16/2020,196.426,202.37,202.576,192.47799999999998,70255392
25,6/17/2020,198.358,197.542,201.0,196.514,49454000
26,6/18/2020,200.792,200.6,203.84,198.894,48759680
27,6/19/2020,200.18,202.55599999999998,203.19400000000002,198.268,43398744
28,6/22/2020,198.864,199.99,201.77599999999998,198.00400000000002,31811750
29,6/23/2020,200.356,199.77599999999998,202.4,198.80200000000002,31826356
30,6/24/2020,192.17,198.822,200.17700000000002,190.628,54797964
31,6/25/2020,197.196,190.854,197.196,187.43,46272744
32,6/26/2020,191.94799999999998,198.956,199.0,190.97400000000002,44274540
33,6/29/2020,201.87,193.80200000000002,202.0,189.704,45132020
34,6/30/2020,215.96200000000002,201.3,217.53799999999998,200.74599999999998,84592504
35,7/1/2020,223.926,216.6,227.06599999999997,216.1,66634480
36,7/2/2020,241.732,244.296,245.6,237.12,86250576
37,7/6/2020,274.316,255.338,275.558,253.209,102849320
38,7/7/2020,277.972,281.002,285.9,267.342,107448304
39,7/8/2020,273.176,281.0,283.452,262.268,81556560
40,7/9/2020,278.856,279.39799999999997,281.712,270.256,58587992
41,7/10/2020,308.93,279.2,309.783,275.202,116687768
42,7/13/2020,299.41200000000003,331.8,358.99800000000005,294.222,194926816
43,7/14/2020,303.36,311.2,318.0,286.2,117090704
44,7/15/2020,309.202,308.6,310.0,291.4,81839144
45,7/16/2020,300.128,295.432,306.342,293.2,71503928
46,7/17/2020,300.168,302.69,307.502,298.0,46649860
47,7/20/2020,328.6,303.802,330.0,297.6,85606832
